id,title_zh,title_original,author,year,category,copyright_status,resource_name,resource_url,resource_note,why
01,圣经,The Bible,多作者,古代,宗教与文明,public_domain_translation_varies,Project Gutenberg,https://www.gutenberg.org/ebooks/10,KJV 英译公版入口；中文译本版权需单独核验。,理解西方宗教、文学、政治隐喻的底层文本。
02,古兰经,The Qur'an,传统伊斯兰经典,7世纪,宗教与文明,public_domain_translation_varies,Project Gutenberg,https://www.gutenberg.org/ebooks/2800,公版英译入口；现代译本版权需单独核验。,理解伊斯兰文明、律法、伦理和世界史的重要入口。
03,道德经,Tao Te Ching,老子,约前6世纪,东方思想,public_domain_original,Project Gutenberg,https://www.gutenberg.org/ebooks/216,古籍原文公版；具体译本版权需核验。,以极短文本讨论道、无为、治理与反脆弱的东方经典。
04,论语,Analects,孔子及弟子,约前5世纪,东方思想,public_domain_original,Chinese Text Project,https://ctext.org/analects,古籍原文入口；现代整理和译注版权需核验。,理解儒家伦理、学习观、政治观和人格修养的核心。
05,孟子,Mencius,孟子,约前4世纪,东方思想,public_domain_original,Chinese Text Project,https://ctext.org/mengzi,古籍原文入口；现代译注版权需核验。,讨论人性、仁政、义利之辨，是儒家政治伦理的重要文本。
06,庄子,Zhuangzi,庄子及后学,战国,东方思想,public_domain_original,Chinese Text Project,https://ctext.org/zhuangzi,古籍原文入口；现代译注版权需核验。,训练看待自由、语言、相对性和生命边界的能力。
07,孙子兵法,The Art of War,孙武,约前5世纪,战略与决策,public_domain_original,Project Gutenberg,https://www.gutenberg.org/ebooks/132,公版英译入口；中文古籍原文公版。,战略、竞争、风险和不战而胜思想的源头文本。
08,理想国,The Republic,柏拉图,约前375,哲学与政治,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/1497,Jowett 英译公版入口。,讨论正义、教育、政治秩序和哲人王，是西方哲学入口。
09,尼各马可伦理学,Nicomachean Ethics,亚里士多德,约前340,哲学与伦理,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/8438,公版英译入口。,理解德性、幸福、实践智慧和中道思想。
10,沉思录,Meditations,马可·奥勒留,2世纪,哲学与自我修炼,public_domain_translation,Standard Ebooks,https://standardebooks.org/ebooks/marcus-aurelius/meditations/george-long,George Long 英译公版整理版。,斯多葛主义的个人实践手册，适合长期反复读。
11,君主论,The Prince,马基雅维利,1532,政治与权力,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/1232,W. K. Marriott 英译公版入口。,理解权力、现实政治和组织控制的冷峻文本。
12,论自由,On Liberty,约翰·斯图亚特·密尔,1859,政治与自由,public_domain,Standard Ebooks,https://standardebooks.org/ebooks/john-stuart-mill/on-liberty,公版整理版入口。,自由主义、个人边界、社会权力约束的经典。
13,国富论,The Wealth of Nations,亚当·斯密,1776,经济与社会,public_domain,Project Gutenberg,https://www.gutenberg.org/ebooks/3300,公版入口。,理解市场、分工、制度和现代经济社会的起点。
14,资本论 第一卷,"Das Kapital, Volume I",卡尔·马克思,1867,经济与社会,public_domain_original_translation_varies,Marxists Internet Archive,https://www.marxists.org/archive/marx/works/1867-c1/,原作者公版；具体英文/中文译本版权与网站授权需按来源核验。,分析资本主义生产、商品、价值和制度结构的重要文本。
15,共产党宣言,The Communist Manifesto,马克思、恩格斯,1848,政治与社会,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/61,公版入口。,理解现代政治运动、阶级叙事和意识形态传播的关键文本。
16,物种起源,On the Origin of Species,查尔斯·达尔文,1859,科学与世界观,public_domain,Project Gutenberg,https://www.gutenberg.org/ebooks/2009,公版入口。,改变现代生命观、适应观、复杂系统观的科学经典。
17,梦的解析,The Interpretation of Dreams,西格蒙德·弗洛伊德,1899,心理与人性,public_domain_translation_varies,Project Gutenberg,https://www.gutenberg.org/ebooks/66048,A. A. Brill 英译公版入口；其他译本版权需核验。,理解潜意识、象征、现代心理学和文学解释传统。
18,社会契约论,The Social Contract,卢梭,1762,政治与社会,public_domain_translation,Standard Ebooks,https://standardebooks.org/ebooks/jean-jacques-rousseau/the-social-contract/g-d-h-cole,G. D. H. Cole 英译整理版。,理解主权、共同意志、现代政治合法性的核心文本。
