id,title_zh,title_original,author,copyright_status,reason,legal_resource_name,legal_resource_url
04,论语,Analects,孔子及弟子,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Chinese Text Project,https://ctext.org/analects
05,孟子,Mencius,孟子,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Chinese Text Project,https://ctext.org/mengzi
06,庄子,Zhuangzi,庄子及后学,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Chinese Text Project,https://ctext.org/zhuangzi
14,资本论 第一卷,"Das Kapital, Volume I",卡尔·马克思,public_domain_original_translation_varies,原作公版，但具体译本、网页整理和授权状态需逐项核验；当前只保留合法来源入口。,Marxists Internet Archive,https://www.marxists.org/archive/marx/works/1867-c1/
35,红楼梦,Dream of the Red Chamber,曹雪芹、高鹗,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Wikisource,https://zh.wikisource.org/wiki/紅樓夢
36,西游记,Journey to the West,吴承恩,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Wikisource,https://zh.wikisource.org/wiki/西遊記
37,三国演义,Romance of the Three Kingdoms,罗贯中,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Wikisource,https://zh.wikisource.org/wiki/三國演義
38,水浒传,Water Margin,施耐庵,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Wikisource,https://zh.wikisource.org/wiki/水滸傳
39,史记,Records of the Grand Historian,司马迁,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Wikisource,https://zh.wikisource.org/wiki/史記
40,诗经,Book of Songs,佚名,public_domain_original,古籍原文原则上公版，但当前未自动打包规范整本全文；网络版本常包含现代点校、整理、分章、排版或平台许可，需按来源许可单独整理。,Wikisource,https://zh.wikisource.org/wiki/詩經
41,百年孤独,One Hundred Years of Solitude,加西亚·马尔克斯,copyrighted,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Open Library search,https://openlibrary.org/search?q=One+Hundred+Years+of+Solitude+Gabriel+Garcia+Marquez
42,活着,To Live,余华,copyrighted,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Open Library search,https://openlibrary.org/search?q=%E6%B4%BB%E7%9D%80+%E4%BD%99%E5%8D%8E
43,小王子,The Little Prince,安托万·德·圣-埃克苏佩里,copyrighted_in_some_jurisdictions,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Official site,https://www.thelittleprince.com/
44,一九八四,Nineteen Eighty-Four,乔治·奥威尔,copyrighted_in_us,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Open Library search,https://openlibrary.org/search?q=Nineteen+Eighty-Four+George+Orwell
45,动物农场,Animal Farm,乔治·奥威尔,copyrighted_in_us,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Open Library search,https://openlibrary.org/search?q=Animal+Farm+George+Orwell
46,局外人,The Stranger,阿尔贝·加缪,copyrighted,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Open Library search,https://openlibrary.org/search?q=The+Stranger+Albert+Camus
47,人类简史,Sapiens,尤瓦尔·赫拉利,copyrighted,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Official author page,https://www.ynharari.com/book/sapiens-2/
48,思考，快与慢,"Thinking, Fast and Slow",丹尼尔·卡尼曼,copyrighted,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Google Books metadata,https://books.google.com/books/about/Thinking_Fast_and_Slow.html?id=YGPzXWanppcC
49,影响力,Influence,罗伯特·西奥迪尼,copyrighted,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Publisher page,https://www.harpercollins.com/products/influence-robert-b-cialdini
50,穷查理宝典,Poor Charlie's Almanack,查理·芒格,copyrighted,现代版权书或版权辖区状态复杂，不能在公开仓库或下载包中提供盗版全文。,Official publisher page,https://www.stripe.press/poor-charlies-almanack
